{'class_id': 0, 'confidence': 0.9946233630180359, 'box': [-1, 275, 58, 284]}
{'class_id': 0, 'confidence': 0.9893513321876526, 'box': [280, 267, 167, 458]}
{'class_id': 0, 'confidence': 0.9459400773048401, 'box': [137, 288, 68, 128]}
{'class_id': 0, 'confidence': 0.9946083426475525, 'box': [280, 268, 167, 459]}
{'class_id': 0, 'confidence': 0.9939846396446228, 'box': [-1, 276, 60, 284]}
{'class_id': 0, 'confidence': 0.9420577883720398, 'box': [138, 287, 69, 129]}
{'class_id': 0, 'confidence': 0.9949392080307007, 'box': [280, 267, 167, 462]}
{'class_id': 0, 'confidence': 0.9923161864280701, 'box': [-1, 277, 60, 282]}
{'class_id': 0, 'confidence': 0.9742926955223083, 'box': [139, 285, 69, 133]}
{'class_id': 0, 'confidence': 0.9921884536743164, 'box': [281, 268, 167, 463]}
{'class_id': 0, 'confidence': 0.9903087615966797, 'box': [0, 275, 61, 286]}
{'class_id': 0, 'confidence': 0.975942850112915, 'box': [142, 287, 68, 130]}
{'class_id': 0, 'confidence': 0.9906723499298096, 'box': [281, 267, 168, 467]}
{'class_id': 0, 'confidence': 0.9898217916488647, 'box': [0, 275, 62, 288]}
{'class_id': 0, 'confidence': 0.9609574675559998, 'box': [144, 288, 68, 128]}
{'class_id': 0, 'confidence': 0.9905241131782532, 'box': [288, 269, 170, 461]}
{'class_id': 0, 'confidence': 0.9863529205322266, 'box': [0, 276, 63, 287]}
{'class_id': 0, 'confidence': 0.970740556716919, 'box': [146, 290, 68, 124]}
{'class_id': 0, 'confidence': 0.994856595993042, 'box': [429, 306, 214, 171]}
{'class_id': 0, 'confidence': 0.9906630516052246, 'box': [568, 289, 140, 141]}
{'class_id': 0, 'confidence': 0.9837918877601624, 'box': [8, 186, 129, 194]}
{'class_id': 0, 'confidence': 0.9680032730102539, 'box': [739, 239, 104, 241]}
{'class_id': 63, 'confidence': 0.9050254821777344, 'box': [579, 362, 63, 76]}
{'class_id': 73, 'confidence': 0.5315527319908142, 'box': [785, 233, 15, 34]}
{'class_id': 0, 'confidence': 0.9950007200241089, 'box': [431, 309, 212, 168]}
{'class_id': 0, 'confidence': 0.9938305020332336, 'box': [569, 291, 138, 138]}
{'class_id': 0, 'confidence': 0.9833776950836182, 'box': [8, 185, 129, 195]}
{'class_id': 0, 'confidence': 0.9738163352012634, 'box': [739, 238, 104, 242]}
{'class_id': 63, 'confidence': 0.8973321914672852, 'box': [579, 362, 64, 76]}
{'class_id': 73, 'confidence': 0.5790554285049438, 'box': [785, 232, 15, 35]}
{'class_id': 0, 'confidence': 0.9949348568916321, 'box': [570, 290, 138, 138]}
{'class_id': 0, 'confidence': 0.994057834148407, 'box': [430, 308, 214, 168]}
{'class_id': 0, 'confidence': 0.9842490553855896, 'box': [9, 186, 130, 195]}
{'class_id': 0, 'confidence': 0.9703080058097839, 'box': [737, 241, 105, 238]}
{'class_id': 63, 'confidence': 0.8910835385322571, 'box': [580, 362, 64, 75]}
{'class_id': 73, 'confidence': 0.5666984915733337, 'box': [785, 232, 15, 35]}
{'class_id': 0, 'confidence': 0.9951733946800232, 'box': [568, 290, 141, 138]}
{'class_id': 0, 'confidence': 0.9933463931083679, 'box': [430, 308, 216, 168]}
{'class_id': 0, 'confidence': 0.9777259230613708, 'box': [10, 183, 130, 199]}
{'class_id': 0, 'confidence': 0.9686377048492432, 'box': [736, 239, 107, 239]}
{'class_id': 63, 'confidence': 0.8767373561859131, 'box': [581, 362, 63, 75]}
{'class_id': 73, 'confidence': 0.6031196713447571, 'box': [785, 232, 15, 36]}
{'class_id': 62, 'confidence': 0.509250283241272, 'box': [603, 94, 182, 167]}
{'class_id': 0, 'confidence': 0.9940776824951172, 'box': [570, 289, 139, 140]}
{'class_id': 0, 'confidence': 0.9910328984260559, 'box': [423, 303, 252, 175]}
{'class_id': 0, 'confidence': 0.9743450284004211, 'box': [11, 182, 130, 202]}
{'class_id': 0, 'confidence': 0.9679003357887268, 'box': [738, 236, 106, 244]}
{'class_id': 63, 'confidence': 0.905158519744873, 'box': [581, 361, 64, 77]}
{'class_id': 73, 'confidence': 0.6441653370857239, 'box': [785, 232, 15, 35]}
{'class_id': 62, 'confidence': 0.5150170922279358, 'box': [601, 95, 185, 165]}
{'class_id': 0, 'confidence': 0.9939255714416504, 'box': [570, 289, 140, 139]}
{'class_id': 0, 'confidence': 0.9913265705108643, 'box': [432, 309, 214, 167]}
